"x","y","beta_interaction","pval_interaction","y_category","pval_interaction_fdr","pval_interaction_sig","pval_interaction_fdr_sig"
"WMH_volume","qT2star_median","0.00480176738401897",2.34396467639877e-18,"qT2star",1.12510304467141e-16,2.34396467639877e-18,1.12510304467141e-16
"WMH_volume","t1t2ratio_median","-0.00270969409783813",0.56720684585451,"T1w/T2w",0.689397185427856,NA,NA
"WMH_volume","T1w_median","0.00833506085657748",0.00523395260111758,"T1w",0.0139572069363135,0.00523395260111758,0.0139572069363135
"WMH_volume","T2w_median","-0.00840033323269709",0.243300514829483,"T2w",0.353891657933793,NA,NA
"WMH_volume","FLAIR_median","0.105298783936579",5.18753008312308e-14,"FLAIR",6.2250360997477e-13,5.18753008312308e-14,6.2250360997477e-13
"WMH_volume","qT1_median_PV","-11.1987474818898",0.071470973414191,"qT1",0.118296783582109,NA,NA
"WMH_volume","qT2star_median_PV","0.0043794761015164",2.38611233863445e-15,"qT2star",3.81777974181512e-14,2.38611233863445e-15,3.81777974181512e-14
"WMH_volume","t1t2ratio_median_PV","-0.00238910996612397",0.586706763171673,"T1w/T2w",0.689397185427856,NA,NA
"WMH_volume","T1w_median_PV","0.012424240370225",4.1578980918474e-05,"T1w",0.000221754564898528,4.1578980918474e-05,0.000221754564898528
"WMH_volume","T2w_median_PV","0.000791021486692196",0.918241888212473,"T2w",0.953367698894184,NA,NA
"WMH_volume","FLAIR_median_PV","0.0936437289594726",4.42600212511379e-12,"FLAIR",3.54080170009103e-11,4.42600212511379e-12,3.54080170009103e-11
"WMH_volume","qT1_median_deep","18.0809371394022",0.00108097844609614,"qT1",0.00399130503173959,0.00108097844609614,0.00399130503173959
"WMH_volume","qT2star_median_deep","0.00128849099322783",0.00134441422588713,"qT2star",0.00455957350437715,0.00134441422588713,0.00455957350437715
"WMH_volume","t1t2ratio_median_deep","-0.0230915826987929",0.00776865356383875,"T1w/T2w",0.018644768553213,0.00776865356383875,0.018644768553213
"WMH_volume","T1w_median_deep","-0.0105518126399338",0.0127682213584431,"T1w",0.0291845059621557,NA,0.0291845059621557
"WMH_volume","T2w_median_deep","0.0377064065778262",0.0215232985985488,"T2w",0.0449181883795801,NA,0.0449181883795801
"WMH_volume","FLAIR_median_deep","0.0287764400338864",0.00142486672011786,"FLAIR",0.00455957350437715,0.00142486672011786,0.00455957350437715
"WMH_volume","qT1_median_SWM","23.835331089165",0.000301096563056687,"qT1",0.00131387591152009,0.000301096563056687,0.00131387591152009
"WMH_volume","qT2star_median_SWM","0.00486656510841231",1.99521928474601e-16,"qT2star",4.78852628339042e-15,1.99521928474601e-16,4.78852628339042e-15
"WMH_volume","t1t2ratio_median_SWM","-0.0220064538436932",0.00324005449126572,"T1w/T2w",0.00914838915180909,0.00324005449126572,0.00914838915180909
"WMH_volume","T1w_median_SWM","-0.00717091467390664",0.0256696149314141,"T1w",0.0492856606683151,NA,0.0492856606683151
"WMH_volume","T2w_median_SWM","-0.021238344809586",0.0554741400306831,"T2w",0.0950985257668853,NA,NA
"WMH_volume","FLAIR_median_SWM","0.125431822212101",1.20891482688582e-12,"FLAIR",1.16055823381039e-11,1.20891482688582e-12,1.16055823381039e-11
